probe_id,asn_v4
1509,8767
2074,8767
2364,8767
6750,8767
12707,8767
22386,8767
26602,8767
28987,8767
31557,8767
31941,8767
50614,8767
52766,8767
62111,8767
62707,8767
1000792,8767
1001201,8767
1006716,8767
1010175,8767
1010530,8767
6581,197540
6799,197540
52559,197540
1000030,197540
1001538,197540
1002153,197540
1002200,197540
1003163,197540
1004572,197540
1004880,197540
1004881,197540
1005933,197540
1006937,197540
1008472,197540
1008702,197540
1009025,197540
1009439,197540
1009736,197540
1010232,197540
1011090,197540
15736,9145
22055,9145
24905,9145
27394,9145
29349,9145
29470,9145
30458,9145
32375,9145
33833,9145
50534,9145
50913,9145
50966,9145
51497,9145
52749,9145
54678,9145
62579,9145
65058,9145
1005264,9145
1005528,9145
1010214,9145
62691,199284
1001426,199284
1001428,199284
1001430,199284
1001432,199284
1001433,199284
1001434,199284
1001443,199284
1001445,199284
1001446,199284
1001447,199284
1001449,199284
1001451,199284
1001452,199284
1001453,199284
1001454,199284
1001557,199284
1001558,199284
1004922,199284
1007346,199284
6346,680
6372,680
6838,680
6858,680
11185,680
13477,680
14614,680
22378,680
24157,680
33442,680
50590,680
53329,680
62281,680
1002314,680
1005191,680
1008166,680
1010374,680
1011284,680
1312,15943
3289,15943
3297,15943
11662,15943
14595,15943
15945,15943
28985,15943
29651,15943
30393,15943
34458,15943
34871,15943
61103,15943
1002411,15943
1007173,15943
1008619,15943
1008814,15943
1009851,15943
1000114,8560
1002071,8560
1004571,8560
1007193,8560
1008432,8560
1008612,8560
1008729,8560
1009331,8560
1009333,8560
1009334,8560
1009354,8560
1010420,8560
1010770,8560
1010829,8560
1011218,8560
1011346,8560
10251,12611
12944,12611
14216,12611
53437,12611
60544,12611
62356,12611
1005591,12611
1006951,12611
1006952,12611
1006953,12611
1006954,12611
1006956,12611
1006957,12611
1006958,12611
1007600,12611
31666,8899
32118,8899
34622,8899
52753,8899
53771,8899
60646,8899
62732,8899
1000501,8899
1002710,8899
1003433,8899
1003754,8899
1006285,8899
1010188,8899
33902,15366
52339,15366
53246,15366
54087,15366
54835,15366
60268,15366
60281,15366
61690,15366
1006073,15366
1009595,15366
1000183,51167
1000359,51167
1000661,51167
1002783,51167
1008771,51167
1008981,51167
1009812,51167
1009863,51167
1010489,51167
1011438,51167
7035,24961
17858,24961
54222,24961
54953,24961
1000675,24961
1000678,24961
1001864,24961
1009332,24961
1009952,24961
71,50629
2275,50629
2322,50629
2332,50629
6357,50629
7069,50629
1002152,50629
1003108,50629
4259,8820
20499,8820
55264,8820
61070,8820
1000336,8820
1006503,8820
1006853,8820
1007976,8820
4669,62336
4879,62336
11863,62336
29222,62336
53066,62336
61811,62336
62401,62336
1006382,62336
4715,12312
4999,12312
29283,12312
34604,12312
52676,12312
60556,12312
1004912,12312
1010270,12312
7012,13101
28460,13101
33935,13101
34748,13101
35573,13101
52840,13101
1008692,13101
1009566,13101
11296,21263
50743,21263
51254,21263
52525,21263
53270,21263
54375,21263
1002920,21263
1011406,21263
1280,9063
17909,9063
35357,9063
51160,9063
51643,9063
53014,9063
1009596,9063
3933,16202
32104,16202
62002,16202
1002500,16202
1009197,16202
1009717,16202
1009726,16202
6561,20473
61427,20473
1003186,20473
1003425,20473
1005714,20473
1010212,20473
1010870,20473
51593,14593
60323,14593
62514,14593
65155,14593
1000295,14593
1002750,14593
1009091,14593
1001124,34927
1005488,34927
1006079,34927
1007293,34927
1008295,34927
1010651,34927
1011037,34927
233,13045
22340,13045
53443,13045
61316,13045
1010352,13045
1010490,13045
1206,57353
28728,57353
34593,57353
53004,57353
54512,57353
1005064,57353
1472,198930
22339,198930
29660,198930
50009,198930
1002412,198930
1002463,198930
2205,41998
29012,41998
55029,41998
61994,41998
62719,41998
1006858,41998
7413,20676
19468,20676
30764,20676
60658,20676
1006037,20676
1008781,20676
14377,8220
31058,8220
50663,8220
61011,8220
1001404,8220
1008214,8220
31769,50436
31874,50436
31956,50436
53171,50436
60922,50436
1007510,50436
4332,200924
51017,200924
1005212,200924
1008424,200924
1009411,200924
